Body	ViewCount	LastActivityDate	Title	LastEditorUserId	LastEditorDisplayName	LastEditDate	CommentCount	AnswerCount	AcceptedAnswerId	Score	PostTypeId	OwnerUserId	Tags	CreationDate	FavoriteCount	Id	ParentId	CommunityOwnedDate	ClosedDate
17788	9959	4638	21735	1039608	56072	14331	19	13	7	139	1	8	4668	31212	14	4	-1	-1	-1
64764	3582	30575	48405	483731	56072	18575	5	5	31	43	1	9	32581	35740	3	6	-1	-1	-1
53031	0	30292	-1	1	0	30292	2	-1	-1	127	2	9	-1	7979	-1	7	4	-1	-1
5911	1619	38081	38844	1039608	56072	32701	0	4	162	20	1	9	12282	65485	1	8	-1	-1	-1
42405	87531	45678	28174	861565	56072	45678	5	33	1404	330	1	1	62077	15085	148	9	-1	13632	-1
35911	37203	64353	55804	1039608	56072	11583	10	32	1248	388	1	1	21784	63015	277	11	-1	54771	-1
51256	0	19247	-1	159270	2046	19247	9	-1	-1	113	2	1	-1	53909	-1	12	11	54771	-1
23121	39565	56502	55285	1039608	56072	51666	2	19	357	157	1	9	7137	48641	66	13	-1	-1	-1
60362	24965	24366	37942	1039608	56072	30312	1	5	-1	106	1	11	28850	30216	17	14	-1	-1	-1
50630	29386	1473	5324	1039608	36582	39610	0	5	12446	23	1	2	29471	30398	6	16	-1	-1	-1
57279	4746	47601	13170	546051	0	11608	0	8	26	33	1	2	19370	50172	3	17	-1	-1	-1
2111	0	47101	-1	6068	3818	47101	2	-1	-1	11	2	-1	-1	24644	-1	18	17	-1	-1
19345	12386	22306	14984	13	33112	10894	9	22	-1	101	1	13	21114	30867	39	19	-1	14277	-1
46198	0	17986	-1	-1	-1	-1	0	-1	-1	4	2	5	-1	17986	-1	20	8	-1	-1
57516	0	1302	-1	13	33112	1302	0	-1	-1	5	2	13	-1	13636	-1	21	9	13632	-1
2920	0	51987	-1	17	32777	51987	1	-1	-1	2	2	17	-1	13474	-1	22	9	13632	-1
44016	1013	619	31027	367456	48629	619	0	8	156	23	1	48	64707	21793	5	23	-1	-1	38798
59122	7722	4818	27665	63550	63923	15597	0	3	49	24	1	22	57731	42610	3	24	-1	-1	-1
48624	3565	29917	56373	13531	0	29917	0	10	1443907	30	1	23	29306	36186	0	25	-1	-1	-1
53185	0	47601	-1	48	27872	47601	3	-1	-1	27	2	48	-1	63801	-1	26	17	-1	-1
19385	0	12785	-1	17	55921	12785	1	-1	-1	7	2	17	-1	15797	-1	27	11	54771	-1
31838	0	16999	-1	-1	-1	-1	0	-1	-1	8	2	19	-1	16999	-1	29	13	-1	-1
40717	0	6918	-1	-1	-1	-1	1	-1	-1	4	2	13	-1	6918	-1	30	25	-1	-1
32752	0	30575	-1	842480	0	30575	0	-1	-1	23	2	-1	-1	61796	-1	31	6	-1	-1
57408	0	18287	-1	13	0	18287	5	-1	-1	172	2	13	-1	44706	-1	33	14	-1	-1
